question,option_1,score_1,option_2,score_2,option_3,score_3
"친구가 ""이건 너만 알고 있어""라고 말하며 고민을 털어놓았다.","절대 다른 사람에게 말하지 않고 친구의 이야기를 지켜준다.",10,"정말 친한 사람에게만 익명으로 살짝 이야기할 수도 있다.",5,"흥미로운 이야기라 누군가에게 말하고 싶은 마음이 든다.",0
"단톡방에서 누군가 실수한 이야기를 알게 되었다.","당사자가 없는 자리에서는 그 이야기를 꺼내지 않는다.",10,"분위기상 필요하면 조심스럽게 언급할 수 있다.",5,"이미 단톡방에 나온 이야기라 편하게 말해도 된다고 생각한다.",0
"친구의 연애 고민을 들었는데 다른 친구가 무슨 일이냐고 묻는다.","당사자에게 직접 물어보라고 하거나 모른 척한다.",10,"자세한 내용은 빼고 요즘 조금 힘들어 보인다고만 말한다.",5,"대략적인 상황을 설명해준다.",0
"누군가의 비밀을 알고 있는데 대화 주제가 그쪽으로 흘러간다.","일부러 말을 아끼거나 자연스럽게 주제를 바꾼다.",10,"직접적인 내용은 말하지 않고 조심스럽게 반응한다.",5,"분위기에 따라 알고 있는 내용을 조금 말할 수 있다.",0
"친구가 나에게만 알려준 소식을 다른 사람도 이미 알고 있는 것 같다.","그래도 내가 들은 경로에서는 절대 말하지 않는다.",10,"이미 알려진 분위기라면 조심스럽게 반응한다.",5,"이제 비밀은 아닌 것 같아서 자유롭게 이야기한다.",0
"친구가 실수로 민망한 일을 겪은 뒤 나에게만 이야기했다.","친구가 불편할 수 있으니 다른 사람에게 말하지 않는다.",10,"이름을 밝히지 않고 비슷한 경험처럼 이야기할 수 있다.",5,"웃긴 에피소드라고 생각해 주변에 말할 수 있다.",0
"단톡방에서 친구가 보낸 메시지를 다른 친구에게 보여달라는 요청을 받았다.","보낸 사람의 허락 없이 보여주지 않는다.",10,"중요한 내용은 가리고 일부만 보여줄 수 있다.",5,"큰 문제 없을 것 같으면 그대로 보여준다.",0
"누군가에 대한 소문을 들었는데 사실인지 확실하지 않다.","확실하지 않은 이야기는 다른 사람에게 옮기지 않는다.",10,"사실인지 모르겠다고 전제하고 조심스럽게 말할 수 있다.",5,"흥미로운 이야기라 주변 사람들과 이야기해본다.",0
"친한 친구가 다른 친구의 비밀을 물어본다.","친해도 다른 사람의 비밀은 말하지 않는다.",10,"정확한 내용은 말하지 않고 대략적인 분위기만 전한다.",5,"친한 친구라면 믿고 말해도 괜찮다고 생각한다.",0
"내가 알고 있는 비밀 때문에 대화 중 분위기가 어색해졌다.","비밀을 지키는 쪽을 우선하고 말을 아낀다.",10,"상황을 부드럽게 넘기기 위해 애매하게 답한다.",5,"어색함을 풀기 위해 알고 있는 내용을 조금 말한다.",0
